,company,Date,Open,High,Low,Close,No. of Shares
5081,BOMDYEING,2023-10-06,145.4500,147.1500,143.5500,145.4500,195915
5082,BOMDYEING,2023-10-05,143.9500,145.0000,138.6500,143.8000,218612
5083,BOMDYEING,2023-10-04,142.5000,142.6500,134.6000,138.8000,243231
5084,BOMDYEING,2023-10-03,143.7000,145.7000,142.1500,142.6500,121451
5085,BOMDYEING,2023-09-29,145.4500,146.2500,143.4000,143.7000,78949
5086,BOMDYEING,2023-09-28,148.4000,149.7500,144.9000,145.4500,235478
5087,BOMDYEING,2023-09-27,144.5000,149.3500,143.6000,147.3500,241784
5088,BOMDYEING,2023-09-26,143.2500,146.6000,142.5000,144.5000,128319
5089,BOMDYEING,2023-09-25,145.0500,146.1500,141.8500,142.2000,139154
5090,BOMDYEING,2023-09-22,139.2500,146.8500,138.3500,146.1500,300666
5091,BOMDYEING,2023-09-21,145.0500,147.3000,138.2500,139.0000,244778
5092,BOMDYEING,2023-09-20,146.4500,148.1500,143.1500,144.6000,322693
5093,BOMDYEING,2023-09-18,150.6000,154.3500,147.0500,147.7500,455898
5094,BOMDYEING,2023-09-15,152.7000,156.9000,148.0000,152.8500,792500
5095,BOMDYEING,2023-09-14,164.8000,168.5000,151.3500,153.1000,3301977
5096,BOMDYEING,2023-09-13,132.5500,141.5000,130.4500,140.4500,258845
5097,BOMDYEING,2023-09-12,144.4500,144.4500,127.0000,131.3500,419375
5098,BOMDYEING,2023-09-11,152.0500,155.4000,141.7000,143.2000,520905
5099,BOMDYEING,2023-09-08,155.3500,155.4000,150.5000,152.7500,183424
5100,BOMDYEING,2023-09-07,155.2500,160.0000,152.6000,154.2000,792769
5101,BOMDYEING,2023-09-06,148.8000,153.9500,146.4000,150.9500,540160
5102,BOMDYEING,2023-09-05,136.4000,151.5500,136.4000,148.2000,1380213
5103,BOMDYEING,2023-09-04,138.8500,139.6000,135.4500,135.8500,125957
5104,BOMDYEING,2023-09-01,131.0500,139.5000,131.0500,137.1500,298077
5105,BOMDYEING,2023-08-31,135.1500,135.1500,131.4000,131.8000,194068
