Company,Open,High,Low,Close,No. of Shares
TCS.BO,3327.050048828125,3329.0,3271.0,3299.199951171875,1310532
TCS.BO,3385.0,3417.0,3371.0,3400.64990234375,111891
TCS.BO,3189.60009765625,3189.60009765625,3121.199951171875,3131.550048828125,431542
TCS.BO,3127.0,3140.64990234375,3101.0,3104.35009765625,192170
TCS.BO,3042.0,3052.5,2990.699951171875,2997.35009765625,116665
TCS.BO,3136.0,3149.0,3071.050048828125,3097.64990234375,127684
TCS.BO,3193.0,3199.300048828125,3178.449951171875,3193.050048828125,80343
TCS.BO,3325.0,3341.14990234375,3291.800048828125,3332.64990234375,132868
TCS.BO,3380.25,3428.0,3380.25,3397.10009765625,166776
TCS.BO,3280.199951171875,3339.39990234375,3269.0,3331.89990234375,36869
TCS.BO,3265.0,3273.949951171875,3230.60009765625,3259.050048828125,34548
TATAMOTORS.BO,185.25,187.0,184.5500030517578,186.4499969482422,1158750
TATAMOTORS.BO,246.35000610351562,264.6000061035156,242.5,260.3999938964844,17370420
TATAMOTORS.BO,270.3999938964844,281.95001220703125,255.5500030517578,279.75,9091062
TATAMOTORS.BO,330.3999938964844,335.6000061035156,324.04998779296875,333.29998779296875,3847809
TATAMOTORS.BO,329.8999938964844,331.8500061035156,322.54998779296875,328.1000061035156,5221906
TATAMOTORS.BO,320.29998779296875,321.79998779296875,315.29998779296875,319.75,1860583
TATAMOTORS.BO,298.6499938964844,307.5,297.54998779296875,301.8500061035156,3236502
TATAMOTORS.BO,302.3999938964844,315.0,300.29998779296875,309.8999938964844,3540808
TATAMOTORS.BO,285.6499938964844,294.70001220703125,285.1499938964844,293.0,2809702
TATAMOTORS.BO,326.0,336.54998779296875,324.1000061035156,332.3500061035156,4587490
TATAMOTORS.BO,319.6499938964844,325.70001220703125,317.3999938964844,318.1000061035156,1479190
TATAMOTORS.BO,356.0,360.6499938964844,351.20001220703125,352.6499938964844,2697386
TATAMOTORS.BO,344.3999938964844,346.5,339.6000061035156,341.54998779296875,1780699
TATAMOTORS.BO,310.20001220703125,312.20001220703125,308.20001220703125,310.8999938964844,1510539
TATAMOTORS.BO,290.8500061035156,290.8500061035156,283.6499938964844,284.45001220703125,1243902
TATAMOTORS.BO,294.75,297.79998779296875,286.3500061035156,295.45001220703125,1739475
TATAMOTORS.BO,285.3999938964844,287.3999938964844,281.3999938964844,284.3999938964844,744770
TATAMOTORS.BO,294.0,303.5,293.6499938964844,298.79998779296875,1309761
TATAMOTORS.BO,324.79998779296875,327.0,316.0,317.95001220703125,2761697
TATAMOTORS.BO,387.0,398.0,380.0,382.95001220703125,4488906
TATAMOTORS.BO,494.70001220703125,494.8999938964844,473.3999938964844,479.75,1301053
TATAMOTORS.BO,503.20001220703125,520.5,503.20001220703125,509.75,3932791
TATAMOTORS.BO,499.6499938964844,502.0,485.79998779296875,488.70001220703125,847176
TATAMOTORS.BO,484.95001220703125,495.8500061035156,483.6000061035156,493.75,1772955
TATAMOTORS.BO,458.95001220703125,471.8999938964844,458.54998779296875,470.5,1553516
TATAMOTORS.BO,486.95001220703125,492.6000061035156,483.5,489.54998779296875,664939
TATAMOTORS.BO,510.3500061035156,522.0,504.95001220703125,520.75,1598778
TATAMOTORS.BO,509.0,514.3499755859375,502.8999938964844,504.6000061035156,1232577
TATAMOTORS.BO,497.45001220703125,502.75,491.5,493.1000061035156,967313
TATAMOTORS.BO,402.1000061035156,402.3500061035156,387.8999938964844,394.20001220703125,6447788
TATAMOTORS.BO,427.95001220703125,441.3999938964844,421.3500061035156,440.29998779296875,2424255
TATAMOTORS.BO,449.0,461.8999938964844,448.70001220703125,458.04998779296875,2457231
