Date,Open,High,Low,Close,No. of Shares
2020-10-16,2019.0554,2034.7352,1980.9952,1983.2287,440109
2020-10-15,2088.5208,2089.1589,2001.0964,2010.6229,1514858
2020-10-14,2082.9599,2100.5542,2068.9665,2085.1934,306815
2020-10-13,2034.9175,2083.9171,2031.2711,2078.7209,409570
2020-10-12,2036.1026,2055.5657,2030.0404,2038.9287,262242
2020-10-09,2039.2933,2053.5602,2021.2432,2036.2850,305022
2020-10-08,2061.9015,2067.5535,2025.9837,2041.0254,419058
2020-10-07,2035.8747,2105.2946,2024.7074,2057.6624,875121
2020-10-06,2031.0887,2036.5585,2006.8852,2014.8163,259771
2020-10-05,2047.4979,2050.2327,2010.5773,2015.7279,393079
2020-10-01,2063.9070,2063.9070,2018.1893,2028.3995,285180
2020-09-30,2064.6363,2067.1433,2028.4450,2036.3305,1560690
2020-09-29,2025.6190,2063.9070,2021.1977,2046.4495,325287
2020-09-28,2032.0004,2040.8431,2012.1726,2019.9214,516453
2020-09-25,2001.9169,2017.0498,1976.9385,2007.1131,413085
2020-09-24,2014.6796,2029.2655,1983.3654,1988.3793,439081
2020-09-23,2073.9349,2075.3023,2011.1698,2032.5017,774144
2020-09-22,2084.8743,2084.8743,2006.7941,2015.7279,693332
2020-09-21,2101.2835,2130.0451,2049.3211,2055.8392,501009
2020-09-18,2111.1289,2114.5931,2075.8037,2101.7393,518389
2020-09-17,2114.0461,2128.0851,2090.3440,2096.1328,421866
2020-09-16,2118.3307,2159.4448,2107.4369,2118.4675,653164
2020-09-15,2110.3996,2120.8833,2085.9682,2113.0433,509141
2020-09-14,2114.7298,2151.4225,2080.2706,2098.8677,619976
2020-09-11,2110.0806,2130.4553,2084.0083,2113.9094,1330635
2020-09-10,1991.8891,2136.7455,1983.8213,2110.0806,2449702
2020-09-09,1900.7271,1975.6623,1900.7271,1970.2381,850676
2020-09-08,1908.7494,1932.6338,1896.9895,1920.8283,481632
2020-09-07,1896.3513,1918.9595,1864.5814,1898.3569,625358
2020-09-04,1883.0417,1911.6665,1883.0417,1893.7988,461018
2020-09-03,1939.9268,1948.1313,1917.3186,1925.4776,274998
2020-09-02,1909.8433,1948.1313,1901.1829,1940.4737,1979773
2020-09-01,1909.8433,1934.2291,1881.0817,1903.0517,542387
2020-08-31,1980.0380,1980.0380,1879.0761,1894.8472,770897
2020-08-28,1932.6338,1943.4821,1920.0535,1928.6227,463554
2020-08-27,1956.5638,1958.6150,1917.8200,1925.0674,397191
2020-08-26,1902.9150,1957.3843,1866.3135,1947.9946,857465
2020-08-25,1918.9595,1924.7027,1894.6193,1897.9923,481884
2020-08-24,1913.3075,1918.6404,1887.1896,1910.8005,560786
2020-08-21,1932.4515,1932.4515,1893.4797,1897.7643,437199
2020-08-20,1930.8561,1936.1891,1903.2796,1911.0740,494200
2020-08-19,1952.6439,1963.6289,1933.8645,1944.6672,758768
2020-08-18,1905.0117,1944.3937,1898.8583,1931.4943,642400
2020-08-17,1917.2730,1921.0562,1887.0528,1906.6071,923799
2020-08-14,1934.7305,1965.9079,1905.4675,1927.2552,1012345
2020-08-13,1944.9407,1949.9546,1923.5176,1934.7305,458203
2020-08-12,1936.2803,1955.3331,1920.4181,1939.5621,702687
2020-08-11,1948.7695,1969.0986,1915.4498,1945.4421,697367
2020-08-10,1965.9079,1973.6111,1921.9223,1932.2692,825626
2020-08-07,1936.7817,1966.3637,1932.7250,1956.9740,960776
2020-08-06,1969.0986,1975.9813,1920.7372,1945.8979,1248632
2020-08-05,1978.2148,2001.0053,1930.8106,1938.6961,1793838
2020-08-04,1838.8281,1975.4799,1824.3790,1961.0308,2053197
2020-08-03,1877.0250,1877.0250,1826.8859,1830.9426,714727
2020-07-31,1937.1919,1941.6133,1871.8288,1884.2724,1283236
2020-07-30,1914.4014,1949.9546,1889.1495,1922.2869,1203821
2020-07-29,1987.3310,1992.0714,1887.9644,1910.6182,1525220
2020-07-28,1972.5627,1999.5467,1961.9880,1985.0064,1089402
2020-07-27,1995.9914,2004.3783,1939.9723,1965.3154,2313290
2020-07-24,1877.9366,1971.6511,1874.1990,1956.5182,2889272
2020-07-23,1826.9771,1895.1662,1815.1260,1878.5292,1379049
2020-07-22,1805.0526,1832.3556,1786.7746,1826.9771,1467946
2020-07-21,1770.1832,1802.0899,1763.9842,1797.5773,1034423
2020-07-20,1750.3554,1760.5656,1731.7128,1749.6717,756307
2020-07-17,1681.9384,1750.2187,1675.7394,1742.4243,989480
2020-07-16,1686.4965,1702.9056,1652.0828,1680.2063,1647250
2020-07-15,1767.3571,1803.6396,1639.2290,1682.4854,2839024
2020-07-14,1763.7107,1769.4539,1720.9557,1747.2559,1133553
2020-07-13,1739.8262,1774.9236,1732.1686,1763.3460,1572760
2020-07-10,1668.1729,1717.8562,1663.3413,1712.4776,1140279
2020-07-09,1647.7526,1672.2752,1629.0644,1663.3413,705240
2020-07-08,1664.6176,1672.6399,1631.8905,1638.4997,583648
2020-07-07,1704.7289,1704.7289,1646.7499,1662.7488,717717
2020-07-06,1641.9639,1693.7894,1633.6225,1687.7727,949421
2020-07-03,1623.6403,1634.3518,1612.1995,1629.5202,857283
2020-07-02,1595.3345,1610.6497,1581.1132,1604.9521,815775
2020-07-01,1566.1627,1594.1038,1557.7302,1584.3039,469138
2020-06-30,1582.8453,1586.8564,1546.1070,1552.8074,992945
2020-06-29,1575.2789,1585.2155,1563.4278,1570.8575,670107
2020-06-26,1577.4212,1596.7019,1565.4334,1588.5885,1385178
2020-06-25,1576.1905,1594.4229,1562.3795,1566.1171,654657
2020-06-24,1586.0360,1615.3901,1561.2399,1574.6863,1358724
2020-06-23,1598.9810,1608.2339,1564.1571,1568.0315,1353529
2020-06-22,1618.1706,1644.6531,1581.5235,1592.7820,2036832
2020-06-19,1526.6895,1630.5230,1513.8357,1603.9949,2929255
2020-06-18,1463.6510,1517.8468,1463.6510,1509.8702,1013987
2020-06-17,1465.8845,1490.4527,1460.4148,1472.6305,890838
2020-06-16,1496.4238,1502.2126,1445.0540,1474.5449,1267703
2020-06-15,1437.6243,1482.9318,1423.5398,1472.2658,1125400
2020-06-12,1362.8715,1452.2102,1362.8715,1448.3814,772239
2020-06-11,1430.3313,1430.3313,1395.6442,1401.6153,330910
2020-06-10,1404.8971,1439.4475,1404.4413,1433.0662,421611
2020-06-09,1440.3592,1442.5015,1397.5586,1401.2507,504634
2020-06-08,1480.4704,1480.4704,1426.7304,1431.2885,1111940
2020-06-05,1460.3236,1474.7272,1435.1629,1440.9061,658406
2020-06-04,1403.8944,1448.5637,1403.8944,1440.3136,710718
2020-06-03,1408.4525,1421.2151,1397.7409,1406.1278,444528
2020-06-02,1386.5736,1403.8944,1386.5736,1400.3390,418550
2020-06-01,1349.1972,1403.1651,1345.2316,1386.0722,1016979
2020-05-29,1340.7191,1341.4484,1324.5835,1335.7052,590240
2020-05-28,1326.4067,1348.4679,1322.3500,1342.4968,641847
2020-05-27,1307.2627,1325.5862,1287.3894,1319.0682,627533
2020-05-26,1312.1854,1320.9370,1291.1270,1297.8730,468721
2020-05-22,1326.2244,1329.5974,1300.6990,1305.0748,579294
2020-05-21,1310.9092,1331.7397,1299.3772,1312.7780,558823
2020-05-20,1282.9224,1318.0654,1270.4788,1307.8552,907872
2020-05-19,1332.6969,1332.6969,1279.9141,1283.6973,714335
2020-05-18,1341.7219,1351.0204,1301.7930,1313.3249,1308019
2020-05-15,1317.9286,1337.3461,1290.4433,1329.9620,953907
2020-05-14,1341.9042,1364.1477,1303.6618,1308.5845,795955
2020-05-13,1399.1084,1399.1084,1325.4951,1364.1477,1489557
2020-05-12,1438.5355,1438.5355,1326.4063,1349.4247,2892916
2020-05-11,1442.1820,1472.1287,1433.0658,1437.3960,1076498
2020-05-08,1413.0101,1440.0852,1401.7061,1423.7672,1445996
2020-05-07,1321.8482,1379.9184,1317.1989,1374.0384,1001261
2020-05-06,1332.7876,1352.8433,1318.2017,1332.4686,696700
2020-05-05,1322.8054,1348.1028,1319.1133,1331.8760,662808
2020-05-04,1314.5552,1335.4313,1294.2717,1308.5385,988172
2020-04-30,1325.4947,1362.4153,1312.7320,1337.3913,1289280
2020-04-29,1318.2017,1324.6286,1294.9554,1300.1517,649085
2020-04-28,1323.1245,1326.1784,1268.9287,1301.8837,1313933
2020-04-27,1312.7320,1344.2285,1297.1889,1303.8893,1163737
2020-04-24,1235.1532,1362.8711,1228.8630,1292.0838,2475402
2020-04-23,1248.6452,1263.3678,1234.5606,1250.2861,1479156
2020-04-22,1203.3377,1262.3194,1185.1053,1242.8564,2654572
2020-04-21,1101.3274,1141.8489,1061.5353,1126.8072,1158176
2020-04-20,1118.1012,1145.9056,1096.0401,1134.4648,803967
2020-04-17,1112.1757,1121.2008,1087.2885,1116.7794,564636
2020-04-16,1045.2629,1082.4113,1045.2629,1065.4096,597698
2020-04-15,1094.8550,1126.7161,1041.7075,1048.4079,842093
2020-04-13,1101.2363,1107.6176,1075.7109,1084.1434,450162
2020-04-09,1104.1535,1123.7989,1087.7899,1111.4464,630725
2020-04-08,1071.1528,1120.3347,1059.1651,1086.7871,1082581
2020-04-07,1008.2511,1106.4325,1003.6930,1099.7777,1258845
2020-04-03,1030.1300,1031.5886,963.5818,982.9081,1487427
2020-04-01,1017.5496,1025.5263,952.4144,985.1416,833266
2020-03-31,976.3444,1029.2184,956.1065,1014.1310,2139567
2020-03-30,955.3316,979.0793,929.8518,941.1103,1491354
2020-03-27,1002.7814,1009.8009,954.6935,971.3305,88311810
2020-03-26,993.6652,1018.4157,950.9558,979.7630,930691
2020-03-25,866.9501,1050.1856,866.9501,985.6885,118727948
2020-03-24,859.6571,884.6355,816.6287,859.7483,1035283
2020-03-23,838.6899,867.8617,798.3051,805.7348,1259448
2020-03-20,856.0107,942.3410,847.8517,930.0342,1796309
2020-03-19,843.2480,881.9918,812.2529,836.0462,1581683
2020-03-18,932.5867,943.6173,876.2486,883.2225,1014234
2020-03-17,949.1782,965.4050,915.2659,919.7329,973957
2020-03-16,971.4673,984.2299,916.6789,925.5216,909725
2020-03-13,916.1775,1039.1550,856.7855,1009.0716,2191061
2020-03-12,990.9303,1003.4195,956.7446,967.7752,1052655
2020-03-11,1014.7692,1074.2524,1011.8976,1051.3251,6111134
2020-03-09,1134.9662,1134.9662,998.1777,1014.7692,1694123
2020-03-06,1163.2264,1174.4849,1131.8667,1157.8023,2607535
2020-03-05,1230.6862,1238.2983,1190.5750,1195.5889,428630
2020-03-04,1230.9142,1233.4211,1192.4894,1220.7952,1707410
2020-03-03,1212.4539,1233.7402,1204.9786,1224.8975,456159
2020-03-02,1238.3439,1247.7791,1188.2959,1198.6428,360358
2020-02-28,1238.7085,1238.7085,1207.8958,1211.2232,394755
2020-02-27,1267.1510,1270.7519,1248.5540,1263.3222,349694
2020-02-26,1287.2978,1289.9415,1264.6441,1268.4273,270845
2020-02-25,1321.8482,1323.1245,1285.3834,1291.1266,311277
2020-02-24,1346.4619,1346.4619,1312.3674,1317.1534,404218
2020-02-20,1366.2441,1374.6765,1352.3419,1354.2107,1526381
2020-02-19,1345.1401,1373.3547,1345.1401,1371.2580,293917
2020-02-18,1348.2852,1348.2852,1329.1411,1336.5253,374310
2020-02-17,1358.3130,1372.8989,1344.3196,1347.7382,522734
2020-02-14,1347.2368,1368.3408,1324.8565,1355.2590,721274
2020-02-13,1348.9233,1348.9233,1333.4258,1343.6815,1214042
2020-02-12,1329.0956,1343.7271,1327.3179,1340.0806,289037
2020-02-11,1317.9738,1336.1150,1317.3357,1324.2184,354071
2020-02-10,1303.6158,1317.8371,1286.3406,1309.7692,220738
2020-02-07,1324.4007,1324.4007,1302.2484,1307.0344,197859
2020-02-06,1324.5831,1336.8443,1312.9143,1328.8221,340465
2020-02-05,1307.2623,1323.9449,1303.7981,1320.0705,397576
2020-02-04,1274.4440,1305.3023,1274.3528,1299.8326,770290
2020-02-03,1250.7419,1275.3556,1242.9931,1263.3678,475694
2020-01-31,1322.7598,1325.7226,1283.0588,1286.9332,493869
2020-01-30,1352.7977,1352.7977,1312.7320,1315.0110,300420
2020-01-29,1345.5503,1362.3697,1335.5225,1348.9233,361795
2020-01-28,1373.8561,1376.9556,1334.7932,1341.3113,383402
2020-01-27,1381.1490,1389.6271,1371.9873,1373.4459,192431
2020-01-24,1392.9545,1400.6577,1384.4309,1387.2113,323374
2020-01-23,1402.4354,1405.3070,1386.5732,1392.0429,198496
2020-01-22,1404.3953,1410.0018,1395.5982,1397.6038,201004
2020-01-21,1394.5043,1409.3181,1388.3964,1398.3786,325257
2020-01-20,1465.9296,1467.2515,1392.0429,1396.6010,657534
2020-01-17,1414.0585,1444.7345,1414.0585,1440.9513,623312
2020-01-16,1393.9117,1406.6288,1393.4103,1401.7972,391436
2020-01-15,1402.5265,1404.3042,1384.7499,1389.3080,228931
2020-01-14,1406.1274,1413.4659,1388.1229,1393.9117,300208
2020-01-13,1410.2753,1420.7589,1402.6633,1407.0390,231088
2020-01-10,1413.0101,1420.0752,1403.9851,1410.9134,194507
2020-01-09,1401.3870,1412.8278,1396.4642,1411.1413,260469
2020-01-08,1374.7221,1398.8345,1374.7221,1380.1463,273062
2020-01-07,1385.6616,1398.4242,1380.6021,1390.2652,509038
2020-01-06,1392.0429,1392.9545,1365.1501,1368.7966,457443
2020-01-03,1398.7889,1405.0790,1388.7611,1401.3870,357456
2020-01-02,1380.1918,1404.6232,1379.2802,1399.6549,733200
2020-01-01,1382.1062,1392.4075,1372.3063,1376.2719,461171
2019-12-31,1408.1786,1408.1786,1375.7249,1380.2830,298520
2019-12-30,1406.6288,1410.2753,1393.2280,1407.7227,374974
2019-12-27,1390.2197,1409.1813,1386.9834,1405.8539,490080
2019-12-26,1409.3181,1416.0185,1377.4114,1381.9695,582675
2019-12-24,1432.0630,1433.2025,1406.4009,1409.3181,234721
2019-12-23,1417.5682,1437.6239,1417.5682,1432.1541,1286234
2019-12-20,1468.8012,1474.8179,1454.6256,1458.0441,318864
2019-12-19,1435.5271,1472.2654,1433.3848,1463.2859,1034229
2019-12-18,1424.0863,1440.3587,1423.9496,1436.4388,281877
2019-12-17,1431.0602,1439.9029,1418.1152,1424.0863,323948
2019-12-16,1448.8368,1452.2098,1425.4082,1428.0974,284185
2019-12-13,1435.8006,1449.4749,1433.5672,1442.5922,617447
2019-12-12,1428.5077,1434.5244,1419.6194,1428.9635,591000
2019-12-11,1419.8473,1435.9374,1413.9218,1424.4965,621596
2019-12-10,1432.9746,1435.6183,1416.8845,1424.1319,211086
2019-12-09,1416.7934,1437.8973,1410.8678,1433.5672,310074
2019-12-06,1420.3031,1429.6016,1405.1702,1417.5227,346586
2019-12-05,1439.4471,1440.2220,1407.5404,1413.2836,382240
2019-12-04,1431.4704,1437.6694,1397.9228,1415.3348,563645
2019-12-03,1450.3865,1452.5288,1434.0685,1439.3104,374250
2019-12-02,1454.0330,1471.3538,1438.2620,1446.1019,699509
2019-11-29,1442.1820,1442.1820,1411.1869,1413.8306,228881
2019-11-28,1433.5216,1444.0052,1426.1375,1440.3131,276052
2019-11-27,1423.0380,1435.8006,1418.8445,1431.0146,180784
2019-11-26,1430.6956,1436.7122,1418.4799,1421.0780,337449
2019-11-25,1413.9218,1426.3198,1413.9218,1422.7645,263386
2019-11-22,1406.6288,1430.8779,1401.9795,1409.7283,479941
2019-11-21,1410.7311,1418.7533,1393.5015,1401.3870,596985
2019-11-20,1415.3348,1432.9290,1407.1302,1410.3209,1151510
2019-11-19,1337.8015,1381.0579,1335.9783,1376.3630,834492
2019-11-18,1341.3113,1354.6665,1321.8026,1329.5970,296998
2019-11-15,1335.7504,1355.1223,1333.9272,1339.4424,441953
2019-11-14,1344.6387,1350.1084,1327.3635,1334.0639,351515
2019-11-13,1304.5274,1344.6387,1303.6158,1341.9038,472774
2019-11-11,1312.7320,1316.4241,1297.5535,1301.6102,259550
2019-11-08,1329.6881,1330.5997,1313.6436,1317.6092,375179
2019-11-07,1310.9088,1333.6081,1306.3051,1329.8704,298340
2019-11-06,1317.9282,1318.3840,1302.4307,1305.5302,422263
2019-11-05,1329.6425,1339.1690,1313.2790,1319.6603,219619
2019-11-04,1336.4341,1341.1289,1317.2901,1328.4574,438775
2019-11-01,1330.8732,1332.8332,1313.7348,1328.2295,213215
2019-10-31,1351.2479,1357.8572,1331.8760,1334.7932,238128
2019-10-30,1349.2879,1352.8433,1331.3290,1348.0117,1238617
2019-10-29,1314.7831,1349.5614,1314.7831,1337.4369,521310
2019-10-25,1310.4529,1312.9599,1287.0243,1304.2539,363227
2019-10-24,1276.3128,1313.6436,1264.1883,1309.3134,437498
2019-10-23,1291.7648,1299.5135,1261.1343,1269.7491,310512
2019-10-22,1300.9265,1310.5897,1279.9137,1289.2578,644170
2019-10-18,1279.0932,1301.7926,1275.9937,1290.2150,635441
2019-10-17,1256.2116,1275.3556,1250.8786,1272.7575,285635
2019-10-16,1247.3689,1257.9437,1242.9931,1251.3800,195068
2019-10-15,1242.9931,1248.9186,1226.1282,1242.8108,199245
2019-10-14,1243.0843,1243.0843,1231.5979,1237.6601,225001
2019-10-11,1244.3605,1245.2722,1218.8352,1232.8741,289569
2019-10-10,1210.6306,1247.0954,1205.6623,1241.9903,688572
2019-10-09,1195.9535,1212.4539,1178.8607,1208.5795,238384
2019-10-07,1194.2215,1203.3377,1186.5183,1194.0391,194665
2019-10-04,1200.6940,1211.0864,1188.7973,1191.8968,249597
2019-10-03,1176.0347,1197.9591,1167.9668,1195.1331,180235
2019-10-01,1217.0120,1223.8491,1179.4532,1189.7090,363845
2019-09-30,1194.2215,1217.9236,1190.3927,1214.8241,453955
2019-09-27,1179.4532,1198.6884,1170.5194,1193.0819,448751
2019-09-26,1175.9891,1183.9202,1170.0180,1182.0058,492751
2019-09-25,1167.7845,1180.9574,1157.1641,1166.6906,420585
2019-09-24,1133.1430,1183.7834,1132.2769,1165.5510,970093
2019-09-23,1165.0496,1167.6478,1124.2091,1129.1774,764368
2019-09-20,1081.7276,1157.3009,1070.7882,1143.5354,1086709
2019-09-19,1100.3247,1102.4670,1069.5575,1074.5258,352628
2019-09-18,1098.3647,1108.6204,1091.7554,1099.1396,301107
2019-09-17,1107.4353,1107.4353,1088.2001,1091.3908,236262
2019-09-16,1085.7388,1110.4892,1083.4597,1103.7888,370437
2019-09-13,1107.3441,1119.6966,1100.3702,1117.2352,553123
2019-09-12,1128.5849,1130.0435,1099.7321,1103.3786,253430
2019-09-11,1114.6371,1130.3625,1114.6371,1125.0296,208817
2019-09-09,1113.9990,1123.7989,1105.9767,1114.0901,281180
2019-09-06,1098.5014,1120.3803,1090.5248,1114.4548,524842
2019-09-05,1101.2363,1106.4781,1087.7443,1092.3936,508170
2019-09-04,1093.9433,1098.4103,1080.7249,1095.3563,522244
2019-09-03,1130.4081,1133.1885,1093.9433,1099.3219,331294
2019-08-30,1136.7894,1143.1708,1112.9506,1138.0201,686721
2019-08-29,1146.7717,1148.6405,1126.3058,1132.4137,401078
2019-08-28,1163.2264,1167.3287,1145.7689,1151.4209,262612
2019-08-27,1169.6077,1170.4282,1150.2814,1162.4060,354162
2019-08-26,1179.6356,1179.6356,1148.3670,1154.0191,326836
2019-08-23,1133.1430,1170.4282,1118.3747,1163.1808,518094
2019-08-22,1158.6683,1158.7139,1129.5421,1136.3336,406958
2019-08-21,1164.5027,1165.4143,1154.7028,1158.4860,235305
2019-08-20,1179.6356,1179.6356,1160.3548,1163.2264,294304
2019-08-19,1167.6022,1182.0514,1167.3743,1177.9035,467894
2019-08-16,1176.4905,1176.9007,1160.6739,1164.5027,342819
2019-08-14,1183.2820,1188.7518,1166.9640,1174.4393,792885
2019-08-13,1130.4081,1187.3843,1117.0073,1162.3148,2112020
2019-08-09,1056.5669,1071.1528,1050.8237,1059.3018,533951
2019-08-08,1010.9860,1055.6553,998.8158,1050.1400,870140
2019-08-07,1028.1244,1037.7876,1005.5162,1010.9860,552007
2019-08-06,1036.3290,1048.2712,1022.7914,1028.3067,437844
2019-08-05,1073.4319,1073.4319,1029.2184,1041.9810,613698
2019-08-02,1071.6087,1092.1201,1059.6209,1079.5397,528257
2019-08-01,1066.4124,1083.2774,1048.5447,1076.2123,435051
2019-07-31,1073.8421,1080.1323,1060.2134,1062.9483,366553
2019-07-30,1104.1991,1112.0846,1071.8821,1076.2123,417915
2019-07-29,1111.6287,1113.5432,1098.5926,1104.1079,420341
2019-07-26,1124.4370,1132.2313,1103.1051,1106.7972,557732
2019-07-25,1155.8879,1156.6627,1118.6938,1123.3886,386093
2019-07-24,1161.4032,1166.0068,1143.5354,1147.5466,499541
2019-07-23,1172.0691,1179.6356,1149.8256,1160.3548,429731
2019-07-22,1145.8601,1171.0208,1119.1040,1167.3287,591224
2019-07-19,1156.1614,1158.6683,1133.1430,1138.6127,325551
2019-07-18,1168.6050,1172.5249,1146.8173,1150.2814,183639
2019-07-17,1182.1881,1182.1881,1166.8729,1168.2859,161433
2019-07-16,1165.9613,1180.5472,1156.9362,1178.8151,589031
2019-07-15,1171.4310,1175.0775,1158.6683,1163.1352,248151
2019-07-12,1171.1575,1184.9230,1165.0496,1167.4199,324715
2019-07-11,1170.5649,1175.7612,1166.5082,1168.0580,157820
2019-07-10,1167.9668,1174.8040,1156.8451,1165.3687,388325
2019-07-09,1139.7978,1170.3826,1135.0574,1166.3715,533405
2019-07-08,1149.5521,1155.6600,1137.7466,1141.2564,352172
2019-07-05,1173.2998,1176.1714,1148.1391,1151.0107,353948
2019-07-04,1168.6961,1177.1286,1167.5566,1169.6077,322614
2019-07-03,1168.2859,1172.7073,1163.2264,1168.9240,277132
2019-07-02,1162.3604,1167.7845,1151.9679,1165.0952,354204
2019-07-01,1145.9056,1159.5799,1136.7894,1156.3893,388010
2019-06-28,1165.9613,1169.4254,1137.7466,1141.3475,445057
2019-06-27,1180.1370,1182.0514,1158.7595,1162.1780,291370
2019-06-26,1174.2114,1189.2076,1173.3454,1180.1370,323995
2019-06-25,1150.4637,1183.0997,1143.4898,1181.2765,411150
2019-06-24,1155.9335,1163.2264,1146.3159,1151.0563,350132
2019-06-21,1180.5472,1181.0942,1163.2264,1166.1436,341907
2019-06-20,1165.9613,1185.1053,1165.1864,1182.2793,305394
2019-06-19,1171.6589,1186.1536,1151.1019,1164.5938,454257
2019-06-18,1167.7845,1173.8012,1157.1186,1169.1975,435019
2019-06-17,1204.4316,1204.7051,1164.5938,1168.2403,477321
2019-06-14,1205.7990,1207.9869,1193.7657,1200.5572,438175
2019-06-13,1213.3199,1216.4194,1194.2215,1207.2576,384516
2019-06-12,1217.1943,1220.2938,1208.4883,1213.4566,203065
2019-06-11,1204.3860,1216.8296,1200.7851,1211.1320,300809
2019-06-10,1203.2465,1209.7190,1194.7684,1202.2893,299264
2019-06-07,1210.3571,1211.2688,1190.2103,1199.0531,445997
2019-06-06,1234.5151,1238.8908,1204.8418,1209.7646,347955
2019-06-04,1237.9792,1251.6535,1228.3616,1231.6890,343907
2019-06-03,1217.0120,1244.3605,1205.2521,1238.2527,516267
2019-05-31,1220.6584,1222.3905,1204.4772,1212.2260,450847
