Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
9-June-2017,10.00,10.15,9.60,9.82,9.821983646464015979,32042,109,314716.00,22880,71.41,0.55,-0.18
8-June-2017,10.00,10.35,9.75,9.82,9.969947822596829219,19932,56,198721.00,18964,95.14,0.60,-0.18
7-June-2017,9.60,10.40,9.25,9.94,9.835967749282558192,21953,92,215929.00,19552,89.06,1.15,0.34
6-June-2017,10.01,10.01,9.69,9.69,9.804258514820868489,22637,68,221939.00,21537,95.14,0.32,-0.32
5-June-2017,10.29,10.41,9.90,10.19,10.302292822966507177,130625,133,1345737.00,102382,78.38,0.51,-0.10
2-June-2017,9.95,10.18,9.71,9.92,9.837861271676300578,10380,34,102117.00,6998,67.42,0.47,-0.03
1-June-2017,9.70,9.91,9.37,9.70,9.778672508733495174,67556,89,660608.00,46739,69.19,0.54,0.00
31-May-2017,9.31,10.11,9.30,9.70,9.705457673060884070,38368,74,372379.00,23006,59.96,0.81,0.39
30-May-2017,9.88,10.25,9.45,9.63,9.805952163593207960,27385,45,268536.00,20635,75.35,0.80,-0.25
29-May-2017,9.27,9.90,9.27,9.79,9.846880852903039907,34705,44,341736.00,34705,100.00,0.63,0.52
26-May-2017,9.42,9.43,8.66,9.43,9.394347281307913355,133281,69,1252088.00,133281,100.00,0.77,0.01
25-May-2017,9.00,9.19,8.82,8.99,9.028995669210146421,24245,47,218908.00,24245,100.00,0.37,-0.01
24-May-2017,9.00,9.67,8.77,8.89,9.136765300425466376,103886,70,949182.00,103886,100.00,0.90,-0.11
23-May-2017,9.35,9.50,9.04,9.21,9.167801422003366580,39803,222,364906.00,39803,100.00,0.46,-0.14
22-May-2017,9.95,9.95,9.50,9.50,9.660003488106897060,74539,82,720047.00,74539,100.00,0.45,-0.45
19-May-2017,10.50,10.50,9.90,9.99,10.136481358790580015,49809,89,504888.00,49809,100.00,0.60,-0.51
18-May-2017,10.50,10.70,10.16,10.18,10.293379963992301802,48323,110,497407.00,48323,100.00,0.54,-0.32
17-May-2017,11.17,11.17,10.62,10.69,10.844933247229068097,75877,164,822881.00,75877,100.00,0.55,-0.48
16-May-2017,11.20,11.69,11.00,11.17,11.216719654357218553,24534,45,275191.00,24534,100.00,0.69,-0.03
15-May-2017,11.76,11.76,11.25,11.26,11.281254712713014628,19893,45,224418.00,19893,100.00,0.51,-0.50
12-May-2017,11.77,11.88,11.10,11.22,11.480652462903747350,27833,57,319541.00,27833,100.00,0.78,-0.55
11-May-2017,11.90,11.90,11.30,11.39,11.542523176138653768,64506,73,744562.00,64506,100.00,0.60,-0.51
10-May-2017,11.10,11.72,11.10,11.44,11.655579635615633264,54448,89,634623.00,54448,100.00,0.62,0.34
9-May-2017,11.05,11.65,11.05,11.17,11.357135706897127031,29969,73,340362.00,29969,100.00,0.60,0.12
8-May-2017,11.88,11.88,11.32,11.57,11.465957966764418377,40920,70,469187.00,40920,100.00,0.56,-0.31
5-May-2017,12.05,12.40,11.55,11.55,11.680311890838206627,48222,111,563248.00,48222,100.00,0.85,-0.50
4-May-2017,11.92,12.38,11.65,12.15,11.918372282190515971,45487,102,542131.00,45487,100.00,0.73,0.23
3-May-2017,12.55,12.55,11.96,12.01,12.076041237113402061,24250,59,292844.00,24250,100.00,0.59,-0.54
2-May-2017,13.00,13.10,12.25,12.27,12.457530997304582210,46375,126,577718.00,46375,100.00,0.85,-0.73
28-April-2017,12.73,13.00,12.61,12.89,12.751612250859492618,44503,72,567485.00,44503,100.00,0.39,0.16
27-April-2017,13.15,13.29,12.67,13.00,12.943420015760441292,25380,66,328504.00,25380,100.00,0.62,-0.15
26-April-2017,13.48,13.48,12.70,13.16,12.930248514043462874,138463,184,1790361.00,138463,100.00,0.78,-0.32
25-April-2017,12.85,13.38,12.81,13.35,13.365951065251764552,306735,287,4099805.00,306735,100.00,0.57,0.50
24-April-2017,12.22,13.10,12.21,12.75,12.725599641926226271,37981,109,483331.00,37981,100.00,0.89,0.53
21-April-2017,13.09,13.09,12.36,12.52,12.635540679319919364,26291,73,332201.00,26291,100.00,0.73,-0.57
20-April-2017,12.94,12.94,12.50,12.51,12.651647055071909180,31359,80,396743.00,31359,100.00,0.44,-0.43
